Scene Codes
@0001: 余杭·客栈各分立房间(原始)
@0002: 余杭·客栈各分立房间(灵儿被劫)
@0003: 余杭·客栈大厅
@0004: 余杭·盛渔村
@0005: 余杭·集市
@0006: 余杭·十里坡
@0007: 余杭·山神庙外
@0008: 余杭·老王家、老丁家
@0009: 余杭·废屋
@000a: 余杭·洪大夫诊所
@000b: 余杭·山神庙里
@000c: 余杭·打铁铺
@000d: 余杭·林师傅木工铺
@000e: 仙灵岛·花树(原始）
@000f: 仙灵岛·岸
@0010: 仙灵岛·峡
@0011: 仙灵岛·莲池(断)
@0012: 仙灵岛·莲池(连)
@0013: 仙灵岛·洞天
@0014: 仙灵岛·水月宫（未赠药）
@0015: 苏州·内(初至)
@0016: 苏州·外
@0017: 苏州·内(次日)
@0018: 苏州·民居
@0019: 苏州·客栈·大厅
@001a: 苏州·客栈·各单间
@001b: 苏州·客栈·大通铺
@001c: 苏州·客栈·赌厅
@001d: 苏州·当铺
@001e: 苏州·药铺
@001f: 苏州·兵器铺
@0020: 苏州·林家堡·演武厅(比武招亲)
@0021: 苏州·林家堡·演武厅(演武结束)
@0022: 苏州·林家堡·客厅
@0023: 苏州·林家堡·后院
@0024: 苏州·林家堡·西厢房(原始)
@0025: 苏州·林家堡·西厢房(墙破)
@0026: 苏州·林家堡·东厢房
@0027: 隐龙窟·山道
@0028: 隐龙窟·迷宫·终(无蛇)
@0029: 隐龙窟·迷宫·终(蛇)
@002a: 隐龙窟·近迹
@002b: 隐龙窟·柴翁居·1
@002c: 隐龙窟·柴翁居·2
@002d: 隐龙窟·迷宫·
@002e: 隐龙窟·迷宫·
@002f: 隐龙窟·内洞
@0030: 山路·白河村·前
@0031: 白河村
@0032: 白河村·米行
@0033: 白河村·各分立屋宇
@0034: 白河村·韩医仙屋外
@0035: 白河村·韩医仙诊厅
@0036: 山路·白河村后
@0037: 鬼阴山·山路·
@0038: 玉佛寺(庙宇)
@0039: 玉佛寺(空地)
@003a: 玉佛寺
@003b: 血池
@003c: 将军冢·上层
@003d: 黑水镇
@003e: 黑水镇·各分立屋宇
@003f: 乱葬岗·荒野
@0040: 乱葬岗·墓地
@0041: 将军冢·下层@1
@0042: 将军冢·下层@2
@0043: 鬼阴山·鬼阴坛(密谋)
@0044: 鬼阴山·山路·
@0045: 鬼阴山·绝顶
@0046: 鬼阴山·迷宫·
@0047: 鬼阴山·迷宫·
@0048: 鬼阴山·迷宫·
@0049: 鬼阴山·迷宫·
@004a: 鬼阴山·迷宫·
@004b: 鬼阴山·迷宫·
@004c: 鬼阴山·鬼阴坛石室
@004d: 鬼阴山·鬼阴坛(得救)
@004e: 鬼阴山·鬼阴坛后门
@004f: 扬州·废城
@0050: 山道·鬼阴山后
@0051: 扬州·府衙（痛揍）
@0052: 扬州
@0053: 山道·扬州前
@0054: 扬州
@0055: 扬州
@0056: 扬州
@0057: 扬州
@0058: 飞贼之家(无）+地牢入口
@0059: 飞贼之家(隐）+地牢入口(无法使用)
@005a: 飞贼之家（显）
@005b: 扬州·牢房
@005c: 井底密道+飞贼密室
@005d: 扬州·客栈
@005e: 扬州·客栈·杂物间
@005f: 扬州·客栈·灶间
@0060: 扬州·各独立商户及井后空屋
@0061: 扬州·客栈·各独立间
@0062: 扬州·城墙·各岗哨
@0063: 扬州·民居·
@0064: 长安
@0065: 蛤蟆谷·后段
@0066: 蛤蟆谷·前段
@0067: 蛤蟆洞·前段
@0068: 蛤蟆洞·后段
@0069: 山路·蛤蟆谷前
@006a: 山路·白苗酒店
@006b: 田园·长安城外
@006c: 长安·尚书府·刘晋元居所外
@006d: 长安·尚书府·刘晋元居所外
@006e: 白苗酒店·内
@006f: 水仙尊王庙外
@0070: 水仙尊王庙外(无船）
@0071: 田园·蛤蟆谷前
@0072: 长安·尚书府内
@0073: 长安·尚书府内
@0074: 长安·尚书府·幽径
@0075: 长安·尚书府·刘晋元居所外（毒仙林关闭）
@0076: 长安·尚书府·大厅
@0077: 长安·尚书府·大厅·楼上
@0078: 长安·尚书府·膳厅（原始）
@0079: 长安·尚书府·膳厅（用餐后）
@007a: 长安·尚书府·刘晋元居所(原始）
@007b: 长安·尚书府·刘晋元居所（第一次下楼，讨论）
