Scene Codes
@0001: 梦之床·逍遥躺地
@0002: 余杭·客栈各分立房间·灵儿被劫
@0003: 余杭·客栈各分立房间·婶婶送行
@0004: 余杭·客栈大厅
@0005: 余杭·盛渔村
@0006: 余杭·集市
@0007: 余杭·十里坡
@0008: 余杭·山神庙外
@0009: 余杭·老王家·老丁家
@000A: 余杭·废屋
@000B: 余杭·洪大夫诊所
@000C: 余杭·山神庙里
@000D: 余杭·打铁铺
@000E: 余杭·林师傅木工铺
@000F: 仙灵岛·岸边
@0010: 仙灵岛·草妖峡谷
@0011: 仙灵岛·花树·灵池·原始
@0012: 仙灵岛·莲池·断
@0013: 仙灵岛·莲池·连
@0014: 仙灵岛·洞天·水月宫外
@0015: 仙灵岛·水月宫·未赠药
@0016: 苏州·外·城郊·刁蛮小姐策两仆
@0017: 苏州·内·初至
@0018: 苏州·内·繁华区
@0019: 苏州·城东民居·各分立房间
@001A: 苏州·客栈·大厅
@001B: 苏州·客栈·各单间
@001C: 苏州·客栈·大通铺
@001D: 苏州·客栈·赌厅
@001E: 苏州·当铺
@001F: 苏州·药铺
@0020: 苏州·兵器铺
@0021: 苏州·林家堡·演武厅·比武招亲
@0022: 苏州·林家堡·演武厅·演武结束
@0023: 苏州·林家堡·客厅
@0024: 苏州·林家堡·后院
@0025: 苏州·林家堡·西厢房·原始
@0026: 苏州·林家堡·西厢房·墙破
@0027: 苏州·林家堡·东厢房
@0028: 苏州·林家堡·西厢房外·螳螂山·山道
@0029: 隐龙窟·迷宫·终·无蛇妖男
@002A: 隐龙窟·迷宫·终·蛇妖男
@002B: 隐龙窟外·螳螂山·山道
@002C: 隐龙窟外·螳螂山·柴翁居·1
@002D: 隐龙窟·迷宫·1
@002E: 隐龙窟·迷宫·2
@002F: 隐龙窟·迷宫·3
@0030: 隐龙窟·内洞
@0031: 出隐龙窟·山路·释放众少女
@0032: 白河村
@0033: 白河村·骆记米行内
@0034: 白河村·各分立屋宇
@0035: 白河村·韩医仙屋外
@0036: 白河村·韩医仙诊厅
@0037: 出白河村·山路·北通黑水镇·西达玉佛寺
@0038: 初至鬼阴山·洞外山路·山神压看门狗
@0039: 玉佛寺·寺外·庙宇未消失
@003A: 玉佛寺·寺外·庙宇消失
@003B: 玉佛寺·寺内
@003C: 将军冢·墓底·血池
@003D: 将军冢·上层
@003E: 黑水镇
@003F: 黑水镇·各分立屋宇
@0040: 乱葬岗·荒野
@0041: 乱葬岗·墓地
@0042: 将军冢·下层·1
@0043: 将军冢·下层·2
@0044: 鬼阴山·鬼阴坛·顶撞老人遭教育
@0045: 鬼阴山·各洞口外山路
@0046: 鬼阴山·绝顶匪巢·院内
@0047: 鬼阴山·迷宫1
@0048: 鬼阴山·迷宫2
@0049: 鬼阴山·迷宫3
@004A: 鬼阴山·迷宫4
@004B: 鬼阴山·迷宫5
@004C: 鬼阴山·迷宫6
@004D: 鬼阴山·鬼阴坛石室
@004E: 鬼阴山·鬼阴坛·梦慈得救公主遭抢
@004F: 鬼阴山·鬼阴坛·石门通道
@0050: 扬州城门·只需进城不许出城
@0051: 出鬼阴山后·山道
@0052: 扬州·府衙·痛揍（不招？再打！）
@0053: 扬州·城西
@0054: 扬州前·山道·初遇问路盖罗娇
@0055: 扬州·城东
@0056: 扬州·城墙追贼·第1段（城西城墙之上）
