（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x000396B4）（0x00038B10）（0x00000388）：0C00（    |    |    ）
（0x000396BC）（0x00038B18）（0x00000390）：0C00（    |    |    ）
（0x000396C4）（0x00038B20）（0x00000398）：0C00（    |    |    ）
（0x000396CC）（0x00038B28）（0x000003A0）：0C00（    |    |    ）
（0x000396D4）（0x00038B30）（0x000003A8）：0C00（    |    |    ）
（0x000396DC）（0x00038B38）（0x000003B0）：0C00（    |    |    ）
（0x000396F4）（0x00038B50）（0x000003C8）：0C00（    |    |    ）
（0x000396FC）（0x00038B58）（0x000003D0）：0C00（    |    |    ）
（0x00039944）（0x00038DA0）（0x00000618）：0C00（    |    |    ）
（0x0003994C）（0x00038DA8）（0x00000620）：0C00（    |    |    ）
（0x0003997C）（0x00038DD8）（0x00000650）：0C00（    |    |    ）
（0x00039984）（0x00038DE0）（0x00000658）：0C00（    |    |    ）
（0x0003998C）（0x00038DE8）（0x00000660）：0C00（    |    |    ）
（0x00039994）（0x00038DF0）（0x00000668）：0C00（    |    |    ）
（0x0003999C）（0x00038DF8）（0x00000670）：0C00（    |    |    ）
（0x000399A4）（0x00038E00）（0x00000678）：0C00（    |    |    ）
（0x00039A1C）（0x00038E78）（0x000006F0）：0C00（    |    |    ）
（0x00039A24）（0x00038E80）（0x000006F8）：0C00（    |    |    ）
（0x00039A2C）（0x00038E88）（0x00000700）：0C00（    |    |    ）
（0x00039A34）（0x00038E90）（0x00000708）：0C00（    |    |    ）
（0x00039B9C）（0x00038FF8）（0x00000870）：0C00（    |    |    ）
（0x00039BA4）（0x00039000）（0x00000878）：0C00（    |    |    ）
（0x00039BAC）（0x00039008）（0x00000880）：0C00（    |    |    ）
（0x00039BB4）（0x00039010）（0x00000888）：0C00（    |    |    ）
（0x00039BBC）（0x00039018）（0x00000890）：0C00（    |    |    ）
（0x00039BEC）（0x00039048）（0x000008C0）：0C00（    |    |    ）
（0x00039BF4）（0x00039050）（0x000008C8）：0C00（    |    |    ）
（0x00039BFC）（0x00039058）（0x000008D0）：0C00（    |    |    ）
（0x00039C04）（0x00039060）（0x000008D8）：0C00（    |    |    ）
（0x00039C0C）（0x00039068）（0x000008E0）：0C00（    |    |    ）
（0x00039C14）（0x00039070）（0x000008E8）：0C00（    |    |    ）
（0x00039C24）（0x00039080）（0x000008F8）：0C00（    |    |    ）
（0x00039C2C）（0x00039088）（0x00000900）：0C00（    |    |    ）
（0x00039C34）（0x00039090）（0x00000908）：0C00（    |    |    ）
（0x00039C3C）（0x00039098）（0x00000910）：0C00（    |    |    ）
（0x00039C44）（0x000390A0）（0x00000918）：0C00（    |    |    ）
（0x00039D14）（0x00039170）（0x000009E8）：0C00（    |    |    ）
（0x00039D44）（0x000391A0）（0x00000A18）：0C00（    |    |    ）
（0x00039D4C）（0x000391A8）（0x00000A20）：0C00（    |    |    ）
（0x00039D54）（0x000391B0）（0x00000A28）：0C00（    |    |    ）
（0x00039D5C）（0x000391B8）（0x00000A30）：0C00（    |    |    ）
（0x00039D64）（0x000391C0）（0x00000A38）：0C00（    |    |    ）
（0x00039D6C）（0x000391C8）（0x00000A40）：0C00（    |    |    ）
（0x00039D74）（0x000391D0）（0x00000A48）：0C00（    |    |    ）
（0x00039D7C）（0x000391D8）（0x00000A50）：0C00（    |    |    ）
（0x00039D84）（0x000391E0）（0x00000A58）：0C00（    |    |    ）
（0x00039D8C）（0x000391E8）（0x00000A60）：0C00（    |    |    ）
（0x00039D9C）（0x000391F8）（0x00000A70）：0C00（    |    |    ）
（0x00039F1C）（0x00039378）（0x00000BF0）：0C00（    |    |    ）
（0x00039F2C）（0x00039388）（0x00000C00）：0C00（    |    |    ）
（0x00039FE4）（0x00039440）（0x00000CB8）：0C00（    |    |    ）
（0x0003A014）（0x00039470）（0x00000CE8）：0C00（    |    |    ）
（0x0003A01C）（0x00039478）（0x00000CF0）：0C00（    |    |    ）
（0x0003A024）（0x00039480）（0x00000CF8）：0C00（    |    |    ）
（0x0003A02C）（0x00039488）（0x00000D00）：0C00（    |    |    ）
（0x0003A034）（0x00039490）（0x00000D08）：0C00（    |    |    ）
（0x0003A03C）（0x00039498）（0x00000D10）：0C00（    |    |    ）
（0x0003A044）（0x000394A0）（0x00000D18）：0C00（    |    |    ）
（0x0003A04C）（0x000394A8）（0x00000D20）：0C00（    |    |    ）
（0x0003A054）（0x000394B0）（0x00000D28）：0C00（    |    |    ）
（0x0003A1B4）（0x00039610）（0x00000E88）：0C00（    |    |    ）
（0x0003A1BC）（0x00039618）（0x00000E90）：0C00（    |    |    ）
（0x0003A1C4）（0x00039620）（0x00000E98）：0C00（    |    |    ）
（0x0003A1CC）（0x00039628）（0x00000EA0）：0C00（    |    |    ）
（0x0003A1DC）（0x00039638）（0x00000EB0）：0C00（    |    |    ）
（0x0003A1E4）（0x00039640）（0x00000EB8）：0C00（    |    |    ）
（0x0003A1EC）（0x00039648）（0x00000EC0）：0C00（    |    |    ）
（0x0003A1F4）（0x00039650）（0x00000EC8）：0C00（    |    |    ）
（0x0003A2AC）（0x00039708）（0x00000F80）：0C00（    |    |    ）
（0x0003A2B4）（0x00039710）（0x00000F88）：0C00（    |    |    ）
（0x0003A2BC）（0x00039718）（0x00000F90）：0C00（    |    |    ）
（0x0003A2C4）（0x00039720）（0x00000F98）：0C00（    |    |    ）
（0x0003A63C）（0x00039A98）（0x00001310）：0C00（    |    |    ）
（0x0003A744）（0x00039BA0）（0x00001418）：0C00（    |    |    ）
（0x0003A754）（0x00039BB0）（0x00001428）：0C00（    |    |    ）
（0x0003A7EC）（0x00039C48）（0x000014C0）：0C00（    |    |    ）
（0x0003A7F4）（0x00039C50）（0x000014C8）：0C00（    |    |    ）
（0x0003A804）（0x00039C60）（0x000014D8）：0C00（    |    |    ）
（0x0003A80C）（0x00039C68）（0x000014E0）：0C00（    |    |    ）
（0x0003A9C4）（0x00039E20）（0x00001698）：0C00（    |    |    ）
（0x0003A9E4）（0x00039E40）（0x000016B8）：0C00（    |    |    ）
（0x0003A9EC）（0x00039E48）（0x000016C0）：0C00（    |    |    ）
（0x0003AA4C）（0x00039EA8）（0x00001720）：0C00（    |    |    ）
（0x0003AF9C）（0x0003A3F8）（0x00001C70）：0C00（    |    |    ）
（0x0003AFA4）（0x0003A400）（0x00001C78）：0C00（    |    |    ）
（0x0003AFAC）（0x0003A408）（0x00001C80）：0C00（    |    |    ）
（0x0003AFB4）（0x0003A410）（0x00001C88）：0C00（    |    |    ）
（0x0003AFBC）（0x0003A418）（0x00001C90）：0C00（    |    |    ）
（0x0003AFC4）（0x0003A420）（0x00001C98）：0C00（    |    |    ）
（0x0003AFCC）（0x0003A428）（0x00001CA0）：0C00（    |    |    ）
（0x0003AFDC）（0x0003A438）（0x00001CB0）：0C00（    |    |    ）
（0x00042E14）（0x00042270）（0x00009AE8）：0C00（    |    |    ）
（0x00051A9C）（0x00050EF8）（0x00018770）：0C00（    |    |    ）
（0x00051ACC）（0x00050F28）（0x000187A0）：0C00（    |    |    ）
（0x00058DCC）（0x00058228）（0x0001FAA0）：0C00（    |    |    ）
