（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003C594）（0x0003B9F0）（0x00003268）：1A00（    |0B00|0200）
（0x0003C59C）（0x0003B9F8）（0x00003270）：1A00（0100|0100|0200）
（0x0003C5A4）（0x0003BA00）（0x00003278）：1A00（0200|0300|0200）
（0x0003C5AC）（0x0003BA08）（0x00003280）：1A00（4000|0300|0200）
（0x00070DEC）（0x00070248）（0x00037AC0）：1A00（    |5B00|0200）
（0x00070DF4）（0x00070250）（0x00037AC8）：1A00（0100|0500|0200）
（0x00070DFC）（0x00070258）（0x00037AD0）：1A00（0200|0002|0200）
（0x00070E04）（0x00070260）（0x00037AD8）：1A00（4000|0400|0200）
（0x00072304）（0x00071760）（0x00038FD8）：1A00（4000|0400|0200）
（0x0007966C）（0x00078AC8）（0x00040340）：1A00（    |0B00|0200）
（0x00079674）（0x00078AD0）（0x00040348）：1A00（0100|0100|0200）
（0x0007967C）（0x00078AD8）（0x00040350）：1A00（0200|0300|0200）
（0x00079684）（0x00078AE0）（0x00040358）：1A00（4000|0300|0200）
（0x000839D4）（0x00082E30）（0x0004A6A8）：1A00（    |5800|0200）
（0x000839DC）（0x00082E38）（0x0004A6B0）：1A00（0200|2600|0200）
（0x000839E4）（0x00082E40）（0x0004A6B8）：1A00（0100|0900|0200）
（0x00085B2C）（0x00084F88）（0x0004C800）：1A00（4100|7F01|    ）
（0x00085B44）（0x00084FA0）（0x0004C818）：1A00（4100|5F01|    ）
（0x00085BB4）（0x00085010）（0x0004C888）：1A00（4100|3B01|    ）
（0x00085BD4）（0x00085030）（0x0004C8A8）：1A00（4100|4001|    ）
（0x00085BF4）（0x00085050）（0x0004C8C8）：1A00（4100|4501|    ）
（0x00085C14）（0x00085070）（0x0004C8E8）：1A00（4100|8501|    ）
（0x00085C34）（0x00085090）（0x0004C908）：1A00（4100|5001|    ）
（0x00086B4C）（0x00085FA8）（0x0004D820）：1A00（0400|0100|    ）
（0x00086B54）（0x00085FB0）（0x0004D828）：1A00（0100|0600|    ）
（0x00086B7C）（0x00085FD8）（0x0004D850）：1A00（0400|0100|    ）
（0x00086B84）（0x00085FE0）（0x0004D858）：1A00（0100|0600|    ）
（0x00086BAC）（0x00086008）（0x0004D880）：1A00（0400|0100|    ）
（0x00086BB4）（0x00086010）（0x0004D888）：1A00（0100|0600|    ）
（0x00086BDC）（0x00086038）（0x0004D8B0）：1A00（0100|0700|    ）
（0x00086C0C）（0x00086068）（0x0004D8E0）：1A00（0100|0700|    ）
（0x00086C3C）（0x00086098）（0x0004D910）：1A00（0100|0700|    ）
（0x00086C44）（0x000860A0）（0x0004D918）：1A00（0400|0100|    ）
（0x00086C8C）（0x000860E8）（0x0004D960）：1A00（0100|0700|    ）
（0x0008BE44）（0x0008B2A0）（0x00052B18）：1A00（0400|0100|    ）
（0x0008BE4C）（0x0008B2A8）（0x00052B20）：1A00（0100|0600|    ）
