（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0008611C）（0x00085578）（0x0004CDF0）：2B00（    |2702|    ）
（0x00086124）（0x00085580）（0x0004CDF8）：2B00（    |2902|    ）
（0x0008612C）（0x00085588）（0x0004CE00）：2B00（    |2802|    ）
（0x0008618C）（0x000855E8）（0x0004CE60）：2B00（    |2802|    ）
（0x000861A4）（0x00085600）（0x0004CE78）：2B00（    |2802|    ）
（0x000861BC）（0x00085618）（0x0004CE90）：2B00（    |2702|    ）
（0x000861CC）（0x00085628）（0x0004CEA0）：2B00（    |2702|    ）
（0x000861DC）（0x00085638）（0x0004CEB0）：2B00（    |2902|    ）
（0x000861E4）（0x00085640）（0x0004CEB8）：2B00（    |2702|    ）
（0x00086374）（0x000857D0）（0x0004D048）：2B00（    |2D02|    ）
（0x000863B4）（0x00085810）（0x0004D088）：2B00（    |2B02|    ）
（0x000863F4）（0x00085850）（0x0004D0C8）：2B00（    |2F02|    ）
（0x00086434）（0x00085890）（0x0004D108）：2B00（    |2E02|    ）
（0x00086474）（0x000858D0）（0x0004D148）：2B00（    |2C02|    ）
（0x000864B4）（0x00085910）（0x0004D188）：2B00（    |3002|    ）
（0x00086874）（0x00085CD0）（0x0004D548）：2B00（0100|2702|    ）
（0x00087124）（0x00086580）（0x0004DDF8）：2B00（    |2702|    ）
（0x0008712C）（0x00086588）（0x0004DE00）：2B00（    |2902|    ）
（0x00087224）（0x00086680）（0x0004DEF8）：2B00（    |2B02|    ）
