（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003C05C）（0x0003B4B8）（0x00002D30）：2E00（    |0900|    ）
（0x0003C064）（0x0003B4C0）（0x00002D38）：2E00（0100|0900|    ）
（0x0003C06C）（0x0003B4C8）（0x00002D40）：2E00（0200|0900|    ）
（0x0003C074）（0x0003B4D0）（0x00002D48）：2E00（0300|0900|    ）
（0x0008623C）（0x00085698）（0x0004CF10）：2E00（0200|0500|8C97）
（0x00086274）（0x000856D0）（0x0004CF48）：2E00（0100|0400|8C97）
（0x000862AC）（0x00085708）（0x0004CF80）：2E00（0200|0300|8C97）
（0x000862E4）（0x00085740）（0x0004CFB8）：2E00（    |0300|8C97）
（0x0008631C）（0x00085778）（0x0004CFF0）：2E00（0100|0500|8C97）
（0x00086354）（0x000857B0）（0x0004D028）：2E00（0300|0400|8C97）
（0x0008665C）（0x00085AB8）（0x0004D330）：2E00（    |0500|8C97）
（0x0008B6E4）（0x0008AB40）（0x000523B8）：2E00（0200|0400|8C97）
（0x0008B71C）（0x0008AB78）（0x000523F0）：2E00（    |0400|8C97）
（0x0008B7E4）（0x0008AC40）（0x000524B8）：2E00（    |    |68A4）
