（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003CEB4）（0x0003C310）（0x00003B88）：5800（1501|0100|8607）
（0x00055E54）（0x000552B0）（0x0001CB28）：5800（1901|0100|8A39）
（0x00055E5C）（0x000552B8）（0x0001CB30）：5800（1B01|0100|8F39）
（0x00055E64）（0x000552C0）（0x0001CB38）：5800（1A01|0100|8F39）
（0x00069E3C）（0x00069298）（0x00030B10）：5800（5100|0100|7561）
（0x00069E44）（0x000692A0）（0x00030B18）：5800（5300|0100|7561）
（0x00069E4C）（0x000692A8）（0x00030B20）：5800（5200|0100|7561）
（0x00069E54）（0x000692B0）（0x00030B28）：5800（5600|0100|7961）
（0x000794EC）（0x00078948）（0x000401C0）：5800（9800|2400|2A80）
（0x00080364）（0x0007F7C0）（0x00047038）：5800（C300|0100|0F8E）
