（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003B684）（0x0003AAE0）（0x00002358）：5D00（2B02|6E04|    ）
（0x0003BD44）（0x0003B1A0）（0x00002A18）：5D00（2F02|4605|    ）
（0x0003BE94）（0x0003B2F0）（0x00002B68）：5D00（2C02|7005|    ）
（0x0008636C）（0x000857C8）（0x0004D040）：5D00（2D02|0B9A|    ）
（0x00086384）（0x000857E0）（0x0004D058）：5D00（2E02|0E9A|    ）
（0x000863AC）（0x00085808）（0x0004D080）：5D00（2B02|139A|    ）
（0x000863C4）（0x00085820）（0x0004D098）：5D00（3002|169A|    ）
（0x000863EC）（0x00085848）（0x0004D0C0）：5D00（2F02|1B9A|    ）
（0x00086404）（0x00085860）（0x0004D0D8）：5D00（2B02|1E9A|    ）
（0x0008642C）（0x00085888）（0x0004D100）：5D00（2E02|239A|    ）
（0x00086444）（0x000858A0）（0x0004D118）：5D00（2D02|269A|    ）
（0x0008646C）（0x000858C8）（0x0004D140）：5D00（2C02|2B9A|    ）
（0x00086484）（0x000858E0）（0x0004D158）：5D00（2F02|2E9A|    ）
（0x000864AC）（0x00085908）（0x0004D180）：5D00（3002|339A|    ）
（0x000864C4）（0x00085920）（0x0004D198）：5D00（2C02|369A|    ）
