（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00042524）（0x00041980）（0x000091F8）：6F00（6700|    |    ）
（0x0004253C）（0x00041998）（0x00009210）：6F00（6600|0100|0100）
（0x00042554）（0x000419B0）（0x00009228）：6F00（6700|    |    ）
（0x0004256C）（0x000419C8）（0x00009240）：6F00（6600|    |    ）
（0x00042584）（0x000419E0）（0x00009258）：6F00（6900|    |    ）
（0x0004259C）（0x000419F8）（0x00009270）：6F00（6800|    |    ）
（0x000425B4）（0x00041A10）（0x00009288）：6F00（8800|    |    ）
（0x000425CC）（0x00041A28）（0x000092A0）：6F00（8700|    |    ）
（0x000425E4）（0x00041A40）（0x000092B8）：6F00（8B00|    |    ）
（0x000425FC）（0x00041A58）（0x000092D0）：6F00（8A00|    |    ）
（0x00042FDC）（0x00042438）（0x00009CB0）：6F00（3F00|    |    ）
