（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003FD04）（0x0003F160）（0x000069D8）：A100（    |    |    ）
（0x0003FD24）（0x0003F180）（0x000069F8）：A100（    |    |    ）
（0x0003FD4C）（0x0003F1A8）（0x00006A20）：A100（    |    |    ）
（0x0003FD6C）（0x0003F1C8）（0x00006A40）：A100（    |    |    ）
（0x0003FD94）（0x0003F1F0）（0x00006A68）：A100（    |    |    ）
（0x0003FDB4）（0x0003F210）（0x00006A88）：A100（    |    |    ）
（0x0003FDDC）（0x0003F238）（0x00006AB0）：A100（    |    |    ）
（0x0003FDFC）（0x0003F258）（0x00006AD0）：A100（    |    |    ）
（0x0003FE24）（0x0003F280）（0x00006AF8）：A100（    |    |    ）
（0x0003FE44）（0x0003F2A0）（0x00006B18）：A100（    |    |    ）
（0x0003FE6C）（0x0003F2C8）（0x00006B40）：A100（    |    |    ）
（0x0003FE8C）（0x0003F2E8）（0x00006B60）：A100（    |    |    ）
（0x0003FEB4）（0x0003F310）（0x00006B88）：A100（    |    |    ）
（0x0003FED4）（0x0003F330）（0x00006BA8）：A100（    |    |    ）
（0x0003FEFC）（0x0003F358）（0x00006BD0）：A100（    |    |    ）
（0x0003FF1C）（0x0003F378）（0x00006BF0）：A100（    |    |    ）
（0x0003FF44）（0x0003F3A0）（0x00006C18）：A100（    |    |    ）
（0x0003FF64）（0x0003F3C0）（0x00006C38）：A100（    |    |    ）
（0x0003FF8C）（0x0003F3E8）（0x00006C60）：A100（    |    |    ）
（0x0003FFAC）（0x0003F408）（0x00006C80）：A100（    |    |    ）
（0x0003FFD4）（0x0003F430）（0x00006CA8）：A100（    |    |    ）
（0x0003FFF4）（0x0003F450）（0x00006CC8）：A100（    |    |    ）
（0x0004001C）（0x0003F478）（0x00006CF0）：A100（    |    |    ）
（0x0004003C）（0x0003F498）（0x00006D10）：A100（    |    |    ）
（0x00040064）（0x0003F4C0）（0x00006D38）：A100（    |    |    ）
（0x000400A4）（0x0003F500）（0x00006D78）：A100（    |    |    ）
（0x000400EC）（0x0003F548）（0x00006DC0）：A100（    |    |    ）
（0x0004010C）（0x0003F568）（0x00006DE0）：A100（    |    |    ）
（0x00040134）（0x0003F590）（0x00006E08）：A100（    |    |    ）
（0x00040154）（0x0003F5B0）（0x00006E28）：A100（    |    |    ）
（0x0004017C）（0x0003F5D8）（0x00006E50）：A100（    |    |    ）
（0x0004019C）（0x0003F5F8）（0x00006E70）：A100（    |    |    ）
（0x000401C4）（0x0003F620）（0x00006E98）：A100（    |    |    ）
（0x000401E4）（0x0003F640）（0x00006EB8）：A100（    |    |    ）
（0x0004020C）（0x0003F668）（0x00006EE0）：A100（    |    |    ）
（0x0004022C）（0x0003F688）（0x00006F00）：A100（    |    |    ）
（0x00040254）（0x0003F6B0）（0x00006F28）：A100（    |    |    ）
（0x00040274）（0x0003F6D0）（0x00006F48）：A100（    |    |    ）
（0x0004029C）（0x0003F6F8）（0x00006F70）：A100（    |    |    ）
（0x000402BC）（0x0003F718）（0x00006F90）：A100（    |    |    ）
（0x000402E4）（0x0003F740）（0x00006FB8）：A100（    |    |    ）
（0x00040304）（0x0003F760）（0x00006FD8）：A100（    |    |    ）
（0x0004032C）（0x0003F788）（0x00007000）：A100（    |    |    ）
（0x0004034C）（0x0003F7A8）（0x00007020）：A100（    |    |    ）
（0x00040374）（0x0003F7D0）（0x00007048）：A100（    |    |    ）
（0x00040394）（0x0003F7F0）（0x00007068）：A100（    |    |    ）
（0x000403BC）（0x0003F818）（0x00007090）：A100（    |    |    ）
（0x00040404）（0x0003F860）（0x000070D8）：A100（    |    |    ）
（0x00040424）（0x0003F880）（0x000070F8）：A100（    |    |    ）
（0x00086B24）（0x00085F80）（0x0004D7F8）：A100（    |    |    ）
