
0700指令参数1：敌人组合，空的栏位指战斗中有可能增加敌人
以下数据取自data.mkf
结构：每10一个记录，顺序排列，0xffff即空

(0000)8E01 史莱姆　|8E01 史莱姆　|无 　　　　　|无 　　　　　|无 　　　　　
(0100)8F01 灯笼　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0200)8F01 灯笼　　|8F01 灯笼　　|无 　　　　　|无 　　　　　|无 　　　　　
(0300)8F01 灯笼　　|8F01 灯笼　　|8F01 灯笼　　|无 　　　　　|无 　　　　　
(0400)9301 蜜蜂　　|9301 蜜蜂　　|无 　　　　　|无 　　　　　|无 　　　　　
(0500)9301 蜜蜂　　|9401 蛹　　　|9301 蜜蜂　　|无 　　　　　|无 　　　　　
(0600)9301 蜜蜂　　|9301 蜜蜂　　|9301 蜜蜂　　|无 　　　　　|无 　　　　　
(0700)9401 蛹　　　|9301 蜜蜂　　|9401 蛹　　　|9301 蜜蜂　　|9301 蜜蜂　　
(0800)9F01 酒瓮　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0900)9F01 酒瓮　　|9F01 酒瓮　　|无 　　　　　|无 　　　　　|无 　　　　　
(0A00)9F01 酒瓮　　|8F01 灯笼　　|9F01 酒瓮　　|无 　　　　　|无 　　　　　
(0B00)9001 黑毛球　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0C00)9001 黑毛球　|9001 黑毛球　|无 　　　　　|无 　　　　　|无 　　　　　
(0D00)9001 黑毛球　|A701 树根　　|9101 烂香菇　|无 　　　　　|无 　　　　　
(0E00)9001 黑毛球　|9001 黑毛球　|9001 黑毛球　|无 　　　　　|无 　　　　　
(0F00)F301 绿叶小妖|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1000)F301 绿叶小妖|F301 绿叶小妖|无 　　　　　|无 　　　　　|无 　　　　　
(1100)F301 绿叶小妖|1202 绿叶妖精|F301 绿叶小妖|无 　　　　　|无 　　　　　
(1200)EF01 苗人拳　|EF01 苗人拳　|无 　　　　　|无 　　　　　|无 　　　　　
(1300)EF01 苗人拳　|E501 胖苗　　|EF01 苗人拳　|无 　　　　　|无 　　　　　
(1400)9101 烂香菇　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1500)E001 林月如一|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1600)C601 刀手　　|BB01 罗汉腿　|无 　　　　　|无 　　　　　|无 　　　　　
(1700)DD01 小双钩　|DC01 锤护院　|E101 暗器手　|无 　　　　　|无 　　　　　
(1800)E301 林月如二|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1900)F601 蛇女灵儿|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1A00)D801 僵尸王　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1B00)空的 　　　　|D901 赤鬼王　|空的 　　　　|无 　　　　　|无 　　　　　
(1C00)C301 红衣喇嘛|E201 智杖和尚|C501 灰衣喇嘛|无 　　　　　|无 　　　　　
(1D00)DE01 女飞贼　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1E00)0E02 黑衣女贼|DF01 女飞贼1 |0E02 黑衣女贼|无 　　　　　|无 　　　　　
(1F00)0E02 黑衣女贼|0E02 黑衣女贼|无 　　　　　|无 　　　　　|无 　　　　　
(2000)0E02 黑衣女贼|0E02 黑衣女贼|0E02 黑衣女贼|无 　　　　　|无 　　　　　
(2100)0F02 苗枪卒　|C601 刀手　　|无 　　　　　|无 　　　　　|无 　　　　　
(2200)0F02 苗枪卒　|F001 石长老　|0F02 苗枪卒　|无 　　　　　|无 　　　　　
(2300)空的 　　　　|0C02 智修大师|空的 　　　　|无 　　　　　|无 　　　　　
(2400)F401 金蟾鬼母|D101 金蟾　　|无 　　　　　|无 　　　　　|无 　　　　　
(2500)F001 石长老　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2600)0D02 林天南　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2700)D401 蝶精彩依|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2800)F301 绿叶小妖|1202 绿叶妖精|无 　　　　　|无 　　　　　|无 　　　　　
(2900)1202 绿叶妖精|1202 绿叶妖精|无 　　　　　|无 　　　　　|无 　　　　　
(2A00)B301 六脚蜘蛛|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2B00)F201 黑蜘蛛精|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2C00)空的 　　　　|D501 狐狸精　|空的 　　　　|空的 　　　　|空的 　　　　
(2D00)E601 半人蛇　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2E00)9201 凤梨小妖|空的 　　　　|9201 凤梨小妖|无 　　　　　|无 　　　　　
(2F00)1602 红史莱姆|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3000)E701 赤色小蛇|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3100)E801 绿色小蛇|E701 赤色小蛇|无 　　　　　|无 　　　　　|无 　　　　　
(3200)1602 红史莱姆|1602 红史莱姆|1602 红史莱姆|无 　　　　　|无 　　　　　
(3300)E801 绿色小蛇|9401 蛹　　　|E801 绿色小蛇|无 　　　　　|无 　　　　　
(3400)1602 红史莱姆|E801 绿色小蛇|1602 红史莱姆|无 　　　　　|无 　　　　　
(3500)E701 赤色小蛇|EB01 五毒巨蛇|无 　　　　　|无 　　　　　|无 　　　　　
(3600)E801 绿色小蛇|EB01 五毒巨蛇|无 　　　　　|无 　　　　　|无 　　　　　
(3700)E801 绿色小蛇|AA01 蜥蜴　　|E701 赤色小蛇|无 　　　　　|无 　　　　　
(3800)AA01 蜥蜴　　|EB01 五毒巨蛇|无 　　　　　|无 　　　　　|无 　　　　　
(3900)0802 九头蛇　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3A00)A301 僵尸　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3B00)8F01 灯笼　　|A301 僵尸　　|A301 僵尸　　|无 　　　　　|无 　　　　　
