Sprites
$Encoding: gbk
@0000: (0000,空)
@0001: (0001,鲤鱼)
@0002: (0002,李逍遥)
@0003: (0003,赵灵儿)
@0004: (0004,丁秀兰)
@0005: (0005,阿奴)
@0006: (0006,唐钰)
@0007: (0007,林月如)
@0008: (0008,蜡烛)
@0009: (0009,油灯)
@000a: (000a,剑宝箱)
@000b: (000b,鬼灯笼)
@000c: (000c,天鬼皇)
@000d: (000d,张四哥)
@000e: (000e,水生叔)
@000f: (000f,青年侠士)
@0010: (0010,酒剑仙)
@0011: (0011,病重刘晋元)
@0012: (0012,姥姥)
@0013: (0013,正常金蟾鬼母)
@0014: (0014,丁香兰)
@0015: (0015,李大娘)
@0016: (0016,姜婉儿)
@0017: (0017,人身彩依)
@0018: (0018,南蛮王)
@0019: (0019,苗女)
@001a: (001a,盖罗娇)
@001b: (001b,毒娘子)
@001c: (001c,黑苗头领)
@001d: (001d,黑苗喽罗)
@001e: (001e,持棍苗兵)
@001f: (001f,商贾)
@0020: (0020,王小虎)
@0021: (0021,居民)
@0022: (0022,定身商贾)
@0023: (0023,丁伯)
@0024: (0024,渔叟)
@0025: (0025,鱼漂)
@0026: (0026,圣灵儿)
@0027: (0027,樵夫)
@0028: (0028,方老板)
@0029: (0029,猎人)
@002a: (002a,小媳妇)
@002b: (002b,撒米)
@002c: (002c,母鸡)
@002d: (002d,公鸡)
@002e: (002e,白母鸡)
@002f: (002f,小鸡)
@0030: (0030,旺财嫂)
@0031: (0031,来福婶)
@0032: (0032,跳绳小孩们)
@0033: (0033,渔嫂)
@0034: (0034,小鱼)
@0035: (0035,右门板)
@0036: (0036,左门板)
@0037: (0037,暗道顶板)
@0038: (0038,醉倒酒剑仙)
@0039: (0039,酒菜)
@003a: (003a,病李大婶)
@003b: (003b,僵尸)
@003c: (003c,树妖)
@003d: (003d,鸟)
@003e: (003e,门扇)
@003f: (003f,门扇)
@0040: (0040,门扇开)
@0041: (0041,门扇开)
@0042: (0042,阿修罗像)
@0043: (0043,观音像)
@0044: (0044,药草)
@0045: (0045,药草1)
@0046: (0046,灵山仙芝)
@0047: (0047,仙剑奇侠传印鉴)
@0048: (0048,酒徒)
@0049: (0049,仙鹤)
@004a: (004a,宝剑)
@004b: (004b,病老人)
@004c: (004c,跳绳小孩)
@004d: (004d,跳绳小孩1)
@004e: (004e,跳绳小孩2)
@004f: (004f,骑木马小孩)
@0050: (0050,刘尚书)
@0051: (0051,尚书夫人)
@0052: (0052,书生)
@0053: (0053,挎包书生)
@0054: (0054,苇漂)
@0055: (0055,爆炸花)
@0056: (0056,坟茔)
@0057: (0057,水月宫门牌)
@0058: (0058,水月洞天碑)
@0059: (0059,洪大夫)
@005a: (005a,守店洪大夫)
@005b: (005b,商人)
@005c: (005c,原地商人)
@005d: (005d,挎包商人)
@005e: (005e,原地挎包商人)
@005f: (005f,无赖)
@0060: (0060,铁匠)
@0061: (0061,捕快)
@0062: (0062,原地捕快)
@0063: (0063,江湖痞子)
@0064: (0064,原地江湖痞子)
@0065: (0065,恶少)
@0066: (0066,原地恶少)
@0067: (0067,流氓)
@0068: (0068,原地流氓)
@0069: (0069,古董商)
@006a: (006a,原地古董商)
@006b: (006b,丐帮)
@006c: (006c,原地木道人)
@006d: (006d,剑老头魂)
@006e: (006e,童子)
@006f: (006f,原地童子)
@0070: (0070,胖伙计)
@0071: (0071,原地胖伙计)
@0072: (0072,看书书生)
@0073: (0073,原地看书书生)
@0074: (0074,皮毛商人)
@0075: (0075,原地皮毛商人)
@0076: (0076,钓者)
@0077: (0077,原地钓者)
@0078: (0078,桃村长)
@0079: (0079,原地桃村长)
@007a: (007a,卜者)
@007b: (007b,原地卜者)
@007c: (007c,居者)
@007d: (007d,原地居者)
@007e: (007e,小二)
@007f: (007f,原地小二)
@0080: (0080,二百五)
@0081: (0081,原地二百五)
@0082: (0082,阿七)
@0083: (0083,原地阿七)
@0084: (0084,和尚)
@0085: (0085,原地和尚)
@0086: (0086,原地府兵)
@0087: (0087,原地老和尚)
@0088: (0088,原地蠢道士)
@0089: (0089,原地衙役)
@008a: (008a,女居民)
@008b: (008b,女居民1)
@008c: (008c,原地女居民1)
@008d: (008d,女居民2)
@008e: (008e,原地女居民2)
@008f: (008f,女居民3)
@0090: (0090,原地女居民3)
@0091: (0091,坐柳媚娘)
@0092: (0092,持盒侍女)
@0093: (0093,奉盏侍女)
@0094: (0094,侍女)
@0095: (0095,儿童)
@0096: (0096,儿童1)
@0097: (0097,儿童2)
@0098: (0098,儿童3)
@0099: (0099,儿童4)
@009a: (009a,儿童5)
@009b: (009b,儿童6)
@009c: (009c,儿童7)
@009d: (009d,儿童8)
@009e: (009e,儿童9)
@009f: (009f,儿童a)
@00a0: (00a0,蝴蝶)
@00a1: (00a1,蝴蝶1)
@00a2: (00a2,蝴蝶2)
@00a3: (00a3,原地林木匠)
@00a4: (00a4,原地葫芦)
@00a5: (00a5,蝴蝶3)
@00a6: (00a6,蝴蝶4)
@00a7: (00a7,原地丐帮)
@00a8: (00a8,前半身姑娘)
@00a9: (00a9,右半身姑娘)
@00aa: (00aa,后半身姑娘)
@00ab: (00ab,左半身姑娘)
@00ac: (00ac,前半身公子)
@00ad: (00ad,右半身公子)
@00ae: (00ae,后半身公子)
