（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00049234）（0x00048690）（0x0000FF08）：0A00（DC1F|    |    ）
（0x000495AC）（0x00048A08）（0x00010280）：0A00（8E20|    |    ）
（0x000495DC）（0x00048A38）（0x000102B0）：0A00（8E20|    |    ）
（0x000505D4）（0x0004FA30）（0x000172A8）：0A00（662E|    |    ）
（0x000506D4）（0x0004FB30）（0x000173A8）：0A00（6E2E|    |    ）
（0x00050974）（0x0004FDD0）（0x00017648）：0A00（C72E|    |    ）
（0x00051B14）（0x00050F70）（0x000187E8）：0A00（0931|    |    ）
（0x0005753C）（0x00056998）（0x0001E210）：0A00（3B3C|    |    ）
（0x0005E19C）（0x0005D5F8）（0x00024E70）：0A00（B549|    |    ）
（0x0005E4A4）（0x0005D900）（0x00025178）：0A00（2A4A|    |    ）
（0x0005FDCC）（0x0005F228）（0x00026AA0）：0A00（5E4D|    |    ）
（0x00060F4C）（0x000603A8）（0x00027C20）：0A00（B84F|    |    ）
（0x00060FC4）（0x00060420）（0x00027C98）：0A00（994F|    |    ）
（0x000617EC）（0x00060C48）（0x000284C0）：0A00（9450|    |    ）
（0x000635D4）（0x00062A30）（0x0002A2A8）：0A00（5254|    |    ）
（0x00063FB4）（0x00063410）（0x0002AC88）：0A00（9455|    |    ）
（0x000646D4）（0x00063B30）（0x0002B3A8）：0A00（6E56|    |    ）
（0x0006474C）（0x00063BA8）（0x0002B420）：0A00（6E56|    |    ）
（0x000648D4）（0x00063D30）（0x0002B5A8）：0A00（B056|    |    ）
（0x0006772C）（0x00066B88）（0x0002E400）：0A00（755C|    |    ）
（0x000677CC）（0x00066C28）（0x0002E4A0）：0A00（895C|    |    ）
（0x000679AC）（0x00066E08）（0x0002E680）：0A00（A55C|    |    ）
（0x000688CC）（0x00067D28）（0x0002F5A0）：0A00（AD5E|    |    ）
（0x00068A64）（0x00067EC0）（0x0002F738）：0A00（045F|    |    ）
（0x0006993C）（0x00068D98）（0x00030610）：0A00（BA60|    |    ）
（0x0006B39C）（0x0006A7F8）（0x00032070）：0A00（1B64|    |    ）
（0x0006FBC4）（0x0006F020）（0x00036898）：0A00（0C6D|    |    ）
