（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003971C）（0x00038B78）（0x000003F0）：0D00（    |    |    ）
（0x00039724）（0x00038B80）（0x000003F8）：0D00（    |    |    ）
（0x0003974C）（0x00038BA8）（0x00000420）：0D00（    |    |    ）
（0x00039754）（0x00038BB0）（0x00000428）：0D00（    |    |    ）
（0x0003975C）（0x00038BB8）（0x00000430）：0D00（    |    |    ）
（0x00039764）（0x00038BC0）（0x00000438）：0D00（    |    |    ）
（0x0003976C）（0x00038BC8）（0x00000440）：0D00（    |    |    ）
（0x00039774）（0x00038BD0）（0x00000448）：0D00（    |    |    ）
（0x0003991C）（0x00038D78）（0x000005F0）：0D00（    |    |    ）
（0x00039924）（0x00038D80）（0x000005F8）：0D00（    |    |    ）
（0x00039954）（0x00038DB0）（0x00000628）：0D00（    |    |    ）
（0x0003995C）（0x00038DB8）（0x00000630）：0D00（    |    |    ）
（0x00039A3C）（0x00038E98）（0x00000710）：0D00（    |    |    ）
（0x00039A44）（0x00038EA0）（0x00000718）：0D00（    |    |    ）
（0x00039A4C）（0x00038EA8）（0x00000720）：0D00（    |    |    ）
（0x00039A54）（0x00038EB0）（0x00000728）：0D00（    |    |    ）
（0x00039B5C）（0x00038FB8）（0x00000830）：0D00（    |    |    ）
（0x00039B84）（0x00038FE0）（0x00000858）：0D00（    |    |    ）
（0x00039B8C）（0x00038FE8）（0x00000860）：0D00（    |    |    ）
（0x00039B94）（0x00038FF0）（0x00000868）：0D00（    |    |    ）
（0x00039BC4）（0x00039020）（0x00000898）：0D00（    |    |    ）
（0x00039BD4）（0x00039030）（0x000008A8）：0D00（    |    |    ）
（0x00039BDC）（0x00039038）（0x000008B0）：0D00（    |    |    ）
（0x00039BE4）（0x00039040）（0x000008B8）：0D00（    |    |    ）
（0x00039C6C）（0x000390C8）（0x00000940）：0D00（    |    |    ）
（0x00039C74）（0x000390D0）（0x00000948）：0D00（    |    |    ）
（0x00039E5C）（0x000392B8）（0x00000B30）：0D00（    |    |    ）
（0x00039E64）（0x000392C0）（0x00000B38）：0D00（    |    |    ）
（0x00039E6C）（0x000392C8）（0x00000B40）：0D00（    |    |    ）
（0x00039E74）（0x000392D0）（0x00000B48）：0D00（    |    |    ）
（0x00039E7C）（0x000392D8）（0x00000B50）：0D00（    |    |    ）
（0x00039E84）（0x000392E0）（0x00000B58）：0D00（    |    |    ）
（0x00039E8C）（0x000392E8）（0x00000B60）：0D00（    |    |    ）
（0x00039EA4）（0x00039300）（0x00000B78）：0D00（    |    |    ）
（0x00039F74）（0x000393D0）（0x00000C48）：0D00（    |    |    ）
（0x00039F7C）（0x000393D8）（0x00000C50）：0D00（    |    |    ）
（0x00039FAC）（0x00039408）（0x00000C80）：0D00（    |    |    ）
（0x00039FB4）（0x00039410）（0x00000C88）：0D00（    |    |    ）
（0x00039FBC）（0x00039418）（0x00000C90）：0D00（    |    |    ）
（0x00039FC4）（0x00039420）（0x00000C98）：0D00（    |    |    ）
（0x00039FDC）（0x00039438）（0x00000CB0）：0D00（    |    |    ）
（0x00039FEC）（0x00039448）（0x00000CC0）：0D00（    |    |    ）
（0x0003A22C）（0x00039688）（0x00000F00）：0D00（    |    |    ）
（0x0003A234）（0x00039690）（0x00000F08）：0D00（    |    |    ）
（0x0003A23C）（0x00039698）（0x00000F10）：0D00（    |    |    ）
（0x0003A244）（0x000396A0）（0x00000F18）：0D00（    |    |    ）
（0x0003A254）（0x000396B0）（0x00000F28）：0D00（    |    |    ）
（0x0003A25C）（0x000396B8）（0x00000F30）：0D00（    |    |    ）
（0x0003A264）（0x000396C0）（0x00000F38）：0D00（    |    |    ）
（0x0003A26C）（0x000396C8）（0x00000F40）：0D00（    |    |    ）
（0x0003A27C）（0x000396D8）（0x00000F50）：0D00（    |    |    ）
（0x0003A284）（0x000396E0）（0x00000F58）：0D00（    |    |    ）
（0x0003A28C）（0x000396E8）（0x00000F60）：0D00（    |    |    ）
（0x0003A294）（0x000396F0）（0x00000F68）：0D00（    |    |    ）
（0x0003A5FC）（0x00039A58）（0x000012D0）：0D00（    |    |    ）
（0x0003A724）（0x00039B80）（0x000013F8）：0D00（    |    |    ）
（0x0003A72C）（0x00039B88）（0x00001400）：0D00（    |    |    ）
