（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00085C4C）（0x000850A8）（0x0004C920）：2F00（0100|    |    ）
（0x00085C54）（0x000850B0）（0x0004C928）：2F00（0200|    |    ）
（0x00085C5C）（0x000850B8）（0x0004C930）：2F00（    |    |    ）
（0x0008613C）（0x00085598）（0x0004CE10）：2F00（    |    |    ）
（0x00086144）（0x000855A0）（0x0004CE18）：2F00（0100|    |    ）
（0x0008614C）（0x000855A8）（0x0004CE20）：2F00（0200|    |    ）
（0x00086154）（0x000855B0）（0x0004CE28）：2F00（0300|    |    ）
（0x000866D4）（0x00085B30）（0x0004D3A8）：2F00（0100|    |    ）
（0x000866E4）（0x00085B40）（0x0004D3B8）：2F00（0200|    |    ）
（0x000866F4）（0x00085B50）（0x0004D3C8）：2F00（    |    |    ）
（0x00086704）（0x00085B60）（0x0004D3D8）：2F00（0300|    |    ）
