（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003BAA4）（0x0003AF00）（0x00002778）：3C00（    |    |    ）
（0x0003BAD4）（0x0003AF30）（0x000027A8）：3C00（    |    |    ）
（0x0003BB04）（0x0003AF60）（0x000027D8）：3C00（    |    |    ）
（0x0003BB24）（0x0003AF80）（0x000027F8）：3C00（    |    |    ）
（0x0003BB5C）（0x0003AFB8）（0x00002830）：3C00（    |    |    ）
（0x0003BB8C）（0x0003AFE8）（0x00002860）：3C00（    |    |    ）
（0x0003C4C4）（0x0003B920）（0x00003198）：3C00（    |    |    ）
（0x0003C4F4）（0x0003B950）（0x000031C8）：3C00（    |    |    ）
（0x0003C54C）（0x0003B9A8）（0x00003220）：3C00（    |    |    ）
（0x0003CEC4）（0x0003C320）（0x00003B98）：3C00（5200|    |    ）
（0x0003CEFC）（0x0003C358）（0x00003BD0）：3C00（5200|    |    ）
（0x0003CF34）（0x0003C390）（0x00003C08）：3C00（5200|    |    ）
（0x0003F5F4）（0x0003EA50）（0x000062C8）：3C00（1500|    |    ）
（0x0003F724）（0x0003EB80）（0x000063F8）：3C00（0100|    |    ）
（0x0003F77C）（0x0003EBD8）（0x00006450）：3C00（0800|    |    ）
（0x0003F7D4）（0x0003EC30）（0x000064A8）：3C00（0700|    |    ）
（0x0003F8C4）（0x0003ED20）（0x00006598）：3C00（    |    |    ）
（0x0003F954）（0x0003EDB0）（0x00006628）：3C00（    |    |    ）
（0x0003FA3C）（0x0003EE98）（0x00006710）：3C00（1800|    |    ）
（0x0003FA8C）（0x0003EEE8）（0x00006760）：3C00（0900|    |    ）
（0x0003FAEC）（0x0003EF48）（0x000067C0）：3C00（0300|    |    ）
（0x0003FBAC）（0x0003F008）（0x00006880）：3C00（    |    |    ）
（0x0003FBD4）（0x0003F030）（0x000068A8）：3C00（    |    |    ）
（0x00040584）（0x0003F9E0）（0x00007258）：3C00（2D00|    |    ）
（0x000405C4）（0x0003FA20）（0x00007298）：3C00（2D00|    |    ）
（0x00040614）（0x0003FA70）（0x000072E8）：3C00（    |    |    ）
（0x00040FBC）（0x00040418）（0x00007C90）：3C00（5800|    |    ）
