（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0004738C）（0x000467E8）（0x0000E060）：7E00（3B00|0300|    ）
（0x000473F4）（0x00046850）（0x0000E0C8）：7E00（3B00|    |    ）
（0x000512B4）（0x00050710）（0x00017F88）：7E00（2602|    |    ）
（0x0005190C）（0x00050D68）（0x000185E0）：7E00（2502|0700|    ）
（0x0005CBE4）（0x0005C040）（0x000238B8）：7E00（2B07|0D00|    ）
（0x000667A4）（0x00065C00）（0x0002D478）：7E00（EE08|    |    ）
（0x0006A8C4）（0x00069D20）（0x00031598）：7E00（FFFF|2100|    ）
（0x0006CB74）（0x0006BFD0）（0x00033848）：7E00（8F09|2100|    ）
（0x0007526C）（0x000746C8）（0x0003BF40）：7E00（C80C|0A00|    ）
（0x00084B0C）（0x00083F68）（0x0004B7E0）：7E00（CA12|F6FF|    ）
