（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00041CAC）（0x00041108）（0x00008980）：8500（0500|    |    ）
（0x00041DA4）（0x00041200）（0x00008A78）：8500（1E00|    |    ）
（0x00042644）（0x00041AA0）（0x00009318）：8500（0400|    |    ）
（0x0004266C）（0x00041AC8）（0x00009340）：8500（0400|    |    ）
（0x00042CCC）（0x00042128）（0x000099A0）：8500（0500|    |    ）
（0x00045E54）（0x000452B0）（0x0000CB28）：8500（0400|    |    ）
（0x00045E8C）（0x000452E8）（0x0000CB60）：8500（0600|    |    ）
（0x0004B13C）（0x0004A598）（0x00011E10）：8500（1E00|    |    ）
（0x00062F5C）（0x000623B8）（0x00029C30）：8500（0A00|    |    ）
（0x0006CB5C）（0x0006BFB8）（0x00033830）：8500（0A00|    |    ）
（0x00078AFC）（0x00077F58）（0x0003F7D0）：8500（1400|    |    ）
（0x00088274）（0x000876D0）（0x0004EF48）：8500（1400|    |    ）
