（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003F5AC）（0x0003EA08）（0x00006280）：8B00（0500|    |    ）
（0x0003FCBC）（0x0003F118）（0x00006990）：8B00（    |    |    ）
（0x00041C74）（0x000410D0）（0x00008948）：8B00（0500|    |    ）
（0x00041C8C）（0x000410E8）（0x00008960）：8B00（0400|    |    ）
（0x00041CCC）（0x00041128）（0x000089A0）：8B00（    |    |    ）
（0x00041CE4）（0x00041140）（0x000089B8）：8B00（0800|    |    ）
（0x00041D14）（0x00041170）（0x000089E8）：8B00（0500|    |    ）
（0x0006CBC4）（0x0006C020）（0x00033898）：8B00（    |    |    ）
（0x0006CC04）（0x0006C060）（0x000338D8）：8B00（    |    |    ）
（0x0006CFBC）（0x0006C418）（0x00033C90）：8B00（0200|    |    ）
（0x0006CFEC）（0x0006C448）（0x00033CC0）：8B00（    |    |    ）
（0x0006D34C）（0x0006C7A8）（0x00034020）：8B00（0500|    |    ）
（0x0006D4EC）（0x0006C948）（0x000341C0）：8B00（0500|    |    ）
（0x00070A0C）（0x0006FE68）（0x000376E0）：8B00（    |    |    ）
（0x00072104）（0x00071560）（0x00038DD8）：8B00（0500|    |    ）
（0x0007D194）（0x0007C5F0）（0x00043E68）：8B00（0500|    |    ）
（0x0007D354）（0x0007C7B0）（0x00044028）：8B00（    |    |    ）
（0x00084724）（0x00083B80）（0x0004B3F8）：8B00（0600|    |    ）
（0x0008475C）（0x00083BB8）（0x0004B430）：8B00（    |    |    ）
