以下数据取自data.mkf

	特效	风系	雷系	水系	火系	土系
战场0	0	0	0	0	0	0
战场1	0	0	0	0	0	0
战场2	0	-3	-2	0	1	0
战场3	0	-3	-2	0	1	0
战场4	2	-6	4	2	-10	-2
战场5	0	2	0	0	0	0
战场6	0	2	0	0	0	0
战场7	0	0	0	0	3	0
战场8	0	3	2	0	0	0
战场9	0	3	2	0	-1	0
战场10	0	3	2	5	-5	0
战场11	0	-2	-2	0	2	0
战场12	0	-2	-2	0	2	0
战场13	0	-3	-2	0	4	0
战场14	0	-2	-2	0	5	0
战场15	0	0	0	0	0	0
战场16	0	0	0	0	0	0
战场17	0	2	0	0	0	0
战场18	0	2	0	0	0	0
战场19	4	0	0	-5	3	0
战场20	0	0	0	0	0	0
战场21	0	0	0	0	0	0
战场22	0	-2	-1	0	1	0
战场23	0	3	2	0	0	0
战场24	0	-2	0	2	-3	0
战场25	0	-2	0	0	1	0
战场26	0	0	0	0	0	0
战场27	0	0	0	0	2	0
战场28	0	0	0	0	1	0
战场29	0	1	1	0	0	0
战场30	0	3	2	0	0	0
战场31	128	-3	0	0	0	-2
战场32	0	-1	0	-3	-1	0
战场33	0	-1	0	0	0	0
战场34	0	-1	0	0	-1	0
战场35	0	-1	0	0	-1	0
战场36	0	-1	0	0	-1	0
战场37	0	-1	0	-3	-1	0
战场38	0	0	0	0	0	0
战场39	0	0	0	0	0	0
战场40	0	0	0	0	0	0
战场41	0	0	0	0	0	0
战场42	0	0	0	0	0	0
战场43	0	0	0	0	0	0
战场44	0	0	0	0	0	0
战场45	0	0	0	0	0	0
战场46	0	0	0	0	0	0
战场47	0	0	0	0	0	0
战场48	0	0	0	0	0	0
战场49	0	0	0	0	0	0
战场50	0	2	1	0	0	0
战场51	0	2	1	0	0	0
战场52	0	1	0	0	0	0
战场53	0	1	0	0	0	0
战场54	0	-1	-2	0	2	0
战场55	0	-2	0	0	0	0
战场56	0	-2	0	0	0	0
战场57	0	-2	0	0	0	0
战场58	0	-2	0	0	-1	0
战场59	0	-2	0	0	-1	0
战场60	0	0	0	0	0	0
战场61	0	0	0	0	0	0
战场62	0	0	0	0	0	0
战场63	0	0	0	0	0	0
战场64	2	-6	4	2	-10	-2
